season,name,team,pos,games,minutes,points,rebounds,assists,steals,blocks,turnovers
2022-23,Bryce McGowens,CHO,SG,46,787,246,93,54,15,6,43
2022-23,Patty Mills,BRK,PG,40,567,246,44,56,15,3,30
2022-23,Duane Washington Jr.,PHO,SG,31,394,244,36,63,6,4,34
2022-23,Thaddeus Young,TOR,PF,54,795,240,166,75,54,5,42
2022-23,Cade Cunningham,DET,PG,12,400,239,74,72,10,7,39
2022-23,Haywood Highsmith,MIA,PF,54,969,236,188,43,36,17,45
2022-23,Jaxson Hayes,NOP,C,47,610,233,132,34,20,19,31
2022-23,George Hill,MIL,SG,46,834,232,85,110,26,6,34
2022-23,Dyson Daniels,NOP,PG,59,1042,227,188,134,43,11,57
2022-23,Day'Ron Sharpe,BRK,C,48,552,227,200,37,15,32,42
2022-23,Daishen Nix,HOU,PG,57,914,226,98,132,31,7,86
2022-23,Usman Garuba,HOU,C,75,970,225,307,64,44,29,47
2022-23,Darius Bazley,OKC,C,43,616,224,138,38,22,34,27
2022-23,Miles McBride,NYK,PG,64,760,222,50,72,37,8,25
2022-23,Svi Mykhailiuk,CHO,SF,32,468,222,53,53,15,4,24
2022-23,Maxi Kleber,DAL,PF,37,930,220,135,52,12,30,27
2022-23,Jabari Walker,POR,PF,56,619,216,131,34,10,13,29
2022-23,Lindy Waters III,OKC,SG,41,531,214,75,28,14,11,10
2022-23,Ziaire Williams,MEM,SF,37,561,210,79,35,14,6,37
2022-23,Dāvis Bertāns,DAL,PF,45,492,206,53,21,11,8,10
2022-23,Dean Wade,CLE,PF,44,891,206,150,37,28,21,17
2022-23,Justin Holiday,ATL,SF,46,706,205,55,41,19,19,22
2022-23,Charles Bassey,SAS,C,35,508,199,193,48,16,33,41
2022-23,DeAndre Jordan,DEN,C,39,586,199,202,34,12,23,48
2022-23,Dewayne Dedmon,MIA,C,38,426,199,134,26,9,19,25
2022-23,Justise Winslow,POR,PF,29,776,196,145,98,30,11,43
2022-23,Anthony Gill,WAS,PF,59,624,195,99,34,7,12,15
2022-23,Ousmane Dieng,OKC,PF,39,569,193,105,46,14,7,26
2022-23,Caleb Houstan,ORL,SF,51,812,193,99,30,12,7,18
2022-23,James Bouknight,CHO,SG,34,515,191,72,41,14,5,32
2022-23,Keon Johnson,POR,SG,40,416,189,44,59,19,6,43
2022-23,JaVale McGee,DAL,C,42,355,186,107,11,4,26,36
2022-23,Blake Wesley,SAS,SG,37,669,184,81,98,25,5,65
2022-23,Rodney McGruder,DET,SG,32,524,183,74,28,16,1,11
2022-23,Christian Koloko,TOR,C,58,802,182,171,31,21,57,20
2022-23,Luka Garza,MIN,C,28,243,181,63,18,3,2,14
2022-23,Wesley Matthews,MIL,SF,52,820,179,113,34,20,13,18
2022-23,Jericho Sims,NYK,C,52,812,178,242,25,15,28,27
2022-23,Stanley Johnson,SAS,SF,30,469,174,95,67,16,6,33
2022-23,Amir Coffey,LAC,SF,50,625,172,53,53,7,5,21
